nivel_ruido,fuerza_cambio,tipo_cambio,algorithm_key,algorithm_library,algorithm_method,supervision,is_univariate,iterations,series_per_iteration,delta_eval,series_evaluated,series_avg_length,series_std_length,notes,status,trial_id,is_best,params_json,f1_mean,precision_mean,recall_mean,mmd_mean,mttd_mean,detections_mean,tp_mean,fp_mean,fn_mean,series_count
alto,alto,escalon,ocpdet_two_sample_tests,OCPDet,two sample tests,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ventanas con KS test.,ok,7,False,"{""alpha"": 0.05, ""min_distance"": 30, ""step"": 5, ""window_size"": 40}",0.43203142536475875,0.39788359788359784,0.587037037037037,0.42523149362307533,5.550925925925926,4.044444444444444,1.3333333333333333,2.7111111111111112,0.9777777777777777,45
alto,alto,escalon,ocpdet_neural_networks,OCPDet,neural networks,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Auto-regresion MLP residual.,ok,0,True,"{""hidden_layer_sizes"": [20], ""min_distance"": 30, ""step"": 1, ""threshold"": 2.0, ""window_size"": 20}",0.20731268731268734,0.17047619047619048,0.3333333333333333,0.5969615004115879,4.326666666666667,4.2444444444444445,0.7333333333333333,3.511111111111111,1.5777777777777777,45
alto,alto,escalon,ocpdet_neural_networks,OCPDet,neural networks,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Auto-regresion MLP residual.,ok,1,False,"{""hidden_layer_sizes"": [20], ""min_distance"": 30, ""step"": 1, ""threshold"": 2.5, ""window_size"": 20}",0.18783068783068785,0.18703703703703703,0.23148148148148145,0.7230895481820881,4.85,2.511111111111111,0.4666666666666667,2.0444444444444443,1.8444444444444446,45
alto,alto,escalon,ocpdet_neural_networks,OCPDet,neural networks,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Auto-regresion MLP residual.,ok,2,False,"{""hidden_layer_sizes"": [30, 15], ""min_distance"": 30, ""step"": 1, ""threshold"": 2.0, ""window_size"": 20}",0.13008818342151673,0.11137566137566135,0.2111111111111111,0.7704879588019558,5.0,3.2,0.4,2.8,1.9111111111111112,45
alto,alto,escalon,ocpdet_neural_networks,OCPDet,neural networks,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Auto-regresion MLP residual.,ok,3,False,"{""hidden_layer_sizes"": [30, 15], ""min_distance"": 30, ""step"": 1, ""threshold"": 2.5, ""window_size"": 20}",0.18042328042328046,0.18148148148148152,0.2222222222222222,0.8222319115174175,3.6176470588235294,2.577777777777778,0.4444444444444444,2.1333333333333333,1.8666666666666667,45
alto,alto,escalon,ssm_canary,SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro de Kalman basico.,ok,0,False,"{""measurement_noise"": 0.4, ""min_distance"": 25, ""process_noise"": 0.001, ""threshold"": 2.5}",0.16899470899470898,0.1759259259259259,0.2148148148148148,0.5994397971758039,4.71875,2.7333333333333334,0.4666666666666667,2.2666666666666666,1.8444444444444446,45
alto,alto,escalon,ssm_canary,SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro de Kalman basico.,ok,1,False,"{""measurement_noise"": 0.4, ""min_distance"": 25, ""process_noise"": 0.001, ""threshold"": 3.0}",0.08962962962962963,0.13333333333333333,0.07407407407407407,0.9191636091334427,2.5714285714285716,0.8222222222222222,0.15555555555555556,0.6666666666666666,2.1555555555555554,45
alto,alto,escalon,ssm_canary,SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro de Kalman basico.,ok,2,True,"{""measurement_noise"": 0.8, ""min_distance"": 25, ""process_noise"": 0.001, ""threshold"": 2.5}",0.188994708994709,0.19333333333333333,0.23703703703703702,0.5725421683482599,4.416666666666667,2.7555555555555555,0.5333333333333333,2.2222222222222223,1.7777777777777777,45
alto,alto,escalon,ssm_canary,SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro de Kalman basico.,ok,3,False,"{""measurement_noise"": 0.8, ""min_distance"": 25, ""process_noise"": 0.001, ""threshold"": 3.0}",0.09851851851851852,0.15555555555555556,0.07962962962962962,0.9027680772308326,2.0,0.8666666666666667,0.17777777777777778,0.6888888888888889,2.1333333333333333,45
alto,alto,escalon,ssm_canary,SSM,canary,semi_supervisado,True,3,15,10,45,280.0,83.2666399786453,Filtro de Kalman basico.,ok,4,False,"{""measurement_noise"": 0.4, ""min_distance"": 25, ""process_noise"": 0.005, ""threshold"": 2.5}",0.12116402116402117,0.13148148148148148,0.1574074074074074,0.5929296791075302,4.538461538461538,2.688888888888889,0.3333333333333333,2.3555555555555556,1.9777777777777779,45
